orderDetailID,order_id,product_id,base_units,cash_price,bonus_units,value,comments,prd_remarks,dispatch_status,sch,pack_on_sch,disp_date,type,trade_price,product_scheme,units_convert_date,old_units,old_bonus,old_price,old_value,svn,InvNotes
18028,901,16,170,195.78,17,33283,0,,Y,100,10,01-10-24,FULL,211.65,16,,,,,,,
18029,901,94,300,54.25,30,16275,0,,Y,10,1,28-09-24,FULL,58.65,12,,,,,,,
20941,900,8,300,241.85,60,72555,,,N,100,20,,PEN,261.46,13,,,,,,,
20942,900,16,3000,195.78,300,587340,,,Y,100,10,07-10-24,FULL,211.65,16,,,,,,,
20943,900,18,300,156.46,75,46938,,,Y,100,25,07-10-24,FULL,169.15,12,,,,,,,
20944,900,19,100,117.15,25,11715,,,Y,100,25,07-10-24,FULL,126.65,8,,,,,,,
20945,900,20,200,292.49,30,58498,,,Y,100,15,07-10-24,FULL,316.2,10,,,,,,,
20946,900,24,400,271.26,80,108504,,,N,100,20,,PEN,293.25,7,,,,,,,
20947,900,25,100,265.75,20,26575,,,N,100,20,,PEN,287.3,7,,,,,,,
20948,900,27,40,80.2,16,3208,,,Y,100,40,07-10-24,FULL,86.7,12,,,,,,,
20949,900,28,40,121.08,16,4843,,,Y,100,40,07-10-24,FULL,130.9,12,,,,,,,
20950,900,29,60,230.37,15,13822,,,Y,100,25,07-10-24,FULL,249.05,7,,,,,,,
20951,900,31,150,256.32,38,38448,,,Y,100,25,07-10-24,FULL,277.1,4,,,,,,,
20952,900,42,80,138.12,20,11050,,,Y,100,25,07-10-24,FULL,149.32,5,,,,,,,
20953,900,51,20,316.86,12,6337,,,Y,100,60,07-10-24,FULL,342.55,9,,,,,,,
20954,900,82,1200,463.87,300,556644,,,N,100,25,,PEN,501.5,5,,,,,,,
20955,900,84,200,87.27,40,17454,,,Y,100,20,07-10-24,FULL,94.35,6,,,,,,,
20956,900,85,400,60.54,80,24216,,,Y,100,20,07-10-24,FULL,65.45,2,,,,,,,
20957,900,91,300,93.56,30,28068,,,Y,10,1,07-10-24,FULL,101.15,15,,,,,,,
18058,892,8,50,241.85,10,12093,,,Y,100,20,28-09-24,FULL,261.46,13,,,,,,,
18059,892,16,100,195.78,10,19578,,,Y,100,10,28-09-24,FULL,211.65,16,,,,,,,
18060,892,18,50,156.46,12,7823,,,Y,100,25,28-09-24,FULL,169.15,12,,,,,,,
18061,892,85,100,60.54,20,6054,,,Y,100,20,28-09-24,FULL,65.45,2,,,,,,,
18062,892,91,600,93.56,60,56136,,,Y,10,1,28-09-24,FULL,101.15,15,,,,,,,
18063,892,93,100,99.06,20,9906,,,Y,10,2,28-09-24,FULL,107.1,13,,,,,,,
18064,892,94,600,54.25,60,32550,,,Y,10,1,28-09-24,FULL,58.65,12,,,,,,,
18069,896,1,40,412,20,16480,,,Y,100,50,28-09-24,FULL,445.4,9,,,,,,,
18070,896,3,50,239.02,25,11951,,,Y,100,50,28-09-24,FULL,258.4,11,,,,,,,
18071,896,8,100,241.85,20,24185,,,Y,100,20,28-09-24,FULL,261.46,13,,,,,,,
18072,896,16,500,195.78,50,97890,,,Y,100,10,01-10-24,FULL,211.65,16,,,,,,,
18073,896,31,50,256.32,12,12816,,,Y,100,25,28-09-24,FULL,277.1,4,,,,,,,
18074,896,42,50,138.12,12,6906,,,Y,100,25,28-09-24,FULL,149.32,5,,,,,,,
18075,896,51,50,316.86,30,15843,,,Y,100,60,28-09-24,FULL,342.55,9,,,,,,,
18122,902,1,100,412,50,41200,,,Y,100,50,27-09-24,FULL,445.4,9,,,,,,,
18123,902,13,100,179.19,10,17919,,,Y,100,10,27-09-24,FULL,193.72,10,,,,,,,
18124,902,33,100,458.38,300,45838,,,Y,100,300,27-09-24,FULL,495.55,7,,,,,,,
18125,902,51,100,316.86,60,31686,,,Y,100,60,27-09-24,FULL,342.55,9,,,,,,,
20879,905,1,50,412,25,20600,,,Y,100,50,07-10-24,FULL,445.4,9,,,,,,,
20880,905,6,30,157.25,12,4718,,,Y,100,40,07-10-24,FULL,170,4,,,,,,,
20962,906,8,100,241.85,20,24185,,,N,100,20,,PEN,261.46,13,,,,,,,
20963,906,14,120,170.62,96,20474,,,Y,100,80,07-10-24,FULL,184.45,7,,,,,,,
20964,906,18,500,156.46,125,78230,,,Y,100,25,07-10-24,FULL,169.15,12,,,,,,,
20965,906,19,100,117.15,25,11715,,,Y,100,25,07-10-24,FULL,126.65,8,,,,,,,
20966,906,24,100,271.26,20,27126,,,N,100,20,,PEN,293.25,7,,,,,,,
20967,906,25,40,265.75,8,10630,,,N,100,20,,PEN,287.3,7,,,,,,,
20968,906,31,65,256.32,16,16661,,,Y,100,25,07-10-24,FULL,277.1,4,,,,,,,
20969,906,42,16,138.12,4,2210,,,Y,100,25,07-10-24,FULL,149.32,5,,,,,,,
20970,906,50,10,168.16,2,1682,,,Y,100,20,07-10-24,FULL,181.79,5,,,,,,,
