prod_log_id,prod_id,scheme_id,bonus_scheme,bonus_units,fp,tp,entry_date,remarks,type,bonus_status,mrp
1,1,1,100,30,195.78,211.65,14-06-24,New System Launched,1,CLOSED,0
2,1,2,100,40,195.78,211.65,14-06-24,New System Launched,1,CLOSED,0
3,1,3,100,70,235.88,255,14-06-24,New System Launched,1,CLOSED,0
4,1,4,100,50,263.39,284.75,14-06-24,New System Launched,1,CLOSED,0
5,1,5,100,50,314.5,340,14-06-24,New System Launched,1,CLOSED,0
6,1,6,100,50,352.24,380.8,14-06-24,New System Launched,1,CLOSED,0
7,1,7,100,50,385.26,416.5,10-07-24,Price Or Bonus Changed,1,CLOSED,0
8,1,8,100,20,385.26,416.5,14-06-24,New System Launched,1,CLOSED,0
9,2,1,100,30,117.94,127.5,14-06-24,New System Launched,1,CLOSED,0
10,2,2,100,40,117.94,127.5,14-06-24,New System Launched,1,CLOSED,0
11,2,3,100,70,117.94,127.5,14-06-24,New System Launched,1,CLOSED,0
12,2,4,100,90,117.94,127.5,14-06-24,New System Launched,1,CLOSED,0
13,2,5,100,70,147.82,159.8,14-06-24,New System Launched,1,CLOSED,0
14,2,6,100,50,188.3,203.57,14-06-24,New System Launched,1,CLOSED,0
15,2,7,100,50,192.63,208.25,14-06-24,New System Launched,1,CLOSED,0
16,2,8,100,50,259.46,280.5,14-06-24,New System Launched,1,CLOSED,0
17,2,9,100,50,274.4,296.65,10-07-24,Price Or Bonus Changed,1,CLOSED,0
18,2,10,100,20,274.4,296.65,14-06-24,New System Launched,1,CLOSED,0
19,2,11,100,50,117.94,127.5,14-06-24,New System Launched,1,CLOSED,0
20,3,1,100,30,93.56,101.15,14-06-24,New System Launched,1,CLOSED,0
21,3,2,100,40,93.56,101.15,14-06-24,New System Launched,1,CLOSED,0
22,3,3,100,70,93.56,101.15,14-06-24,New System Launched,1,CLOSED,0
23,3,4,100,90,93.56,101.15,14-06-24,New System Launched,1,CLOSED,0
24,3,5,100,70,117.94,127.5,14-06-24,New System Launched,1,CLOSED,0
25,3,6,100,50,125.8,136,14-06-24,New System Launched,1,CLOSED,0
26,3,7,100,50,149.39,161.5,14-06-24,New System Launched,1,CLOSED,0
27,3,8,100,50,196.56,212.5,14-06-24,New System Launched,1,CLOSED,0
28,3,9,100,50,224.08,242.25,10-07-24,Price Or Bonus Changed,1,CLOSED,0
29,3,10,100,20,224.08,242.25,14-06-24,New System Launched,1,CLOSED,0
30,4,1,100,35,132.88,143.65,14-06-24,New System Launched,1,CLOSED,0
31,4,2,100,45,132.88,143.65,14-06-24,New System Launched,1,CLOSED,0
32,4,3,100,80,157.25,170,14-06-24,New System Launched,1,CLOSED,0
33,4,4,100,30,217.01,234.6,14-06-24,New System Launched,1,CLOSED,0
34,4,5,100,30,248.46,268.6,14-06-24,New System Launched,1,CLOSED,0
35,4,6,100,30,347.52,375.7,14-06-24,Price Or Bonus Changed,1,CLOSED,0
36,4,7,100,20,347.52,375.7,14-06-24,New System Launched,1,CLOSED,0
37,5,1,100,20,70.76,76.5,14-06-24,Price Or Bonus Changed,1,CLOSED,0
38,5,2,100,10,70.76,76.5,14-06-24,New System Launched,1,CLOSED,0
39,6,1,100,40,65.26,70.55,14-06-24,New System Launched,1,CLOSED,0
40,6,2,100,40,94.35,102,14-06-24,New System Launched,1,CLOSED,0
41,6,3,100,40,121.87,131.75,14-06-24,New System Launched,1,CLOSED,0
42,6,4,100,40,157.25,170,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
43,7,1,100,40,51.89,56.1,14-06-24,Price Or Bonus Changed,1,ACTIVE,0
44,8,1,100,30,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
45,8,2,100,40,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
46,8,3,100,50,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
47,8,4,100,25,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
48,8,5,100,45,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
49,8,6,100,20,117.94,127.5,14-06-24,New System Launched,1,CLOSED,0
50,8,7,100,25,133.66,144.5,14-06-24,New System Launched,1,CLOSED,0
51,8,8,100,20,156.46,169.15,14-06-24,New System Launched,1,CLOSED,0
52,8,9,100,10,156.46,169.15,14-06-24,New System Launched,1,CLOSED,0
53,8,10,100,20,172.98,187,14-06-24,New System Launched,1,CLOSED,0
54,8,11,100,20,208.36,225.25,14-06-24,New System Launched,1,CLOSED,0
55,8,12,100,20,226.13,244.46,14-06-24,Price Or Bonus Changed,1,CLOSED,0
56,9,1,100,25,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
57,9,2,100,30,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
58,9,3,100,40,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
59,9,4,100,45,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
60,9,5,100,50,94.27,101.91,14-06-24,New System Launched,1,CLOSED,0
61,9,6,100,20,125.8,136,14-06-24,New System Launched,1,CLOSED,0
62,9,7,100,25,133.66,144.5,14-06-24,New System Launched,1,CLOSED,0
63,9,8,100,20,156.46,169.15,14-06-24,New System Launched,1,CLOSED,0
64,9,9,100,20,184.77,199.75,14-06-24,New System Launched,1,CLOSED,0
65,9,10,100,20,208.36,225.25,14-06-24,New System Launched,1,CLOSED,0
66,9,11,100,20,237.45,256.7,14-06-24,Price Or Bonus Changed,1,CLOSED,0
67,10,1,100,0,34.3,37.08,14-06-24,Price Or Bonus Changed,1,CLOSED,0
68,11,1,100,0,77.84,84.15,14-06-24,Price Or Bonus Changed,1,CLOSED,0
69,12,1,100,20,112.43,121.55,14-06-24,New System Launched,1,CLOSED,0
70,12,2,100,40,112.43,121.55,14-06-24,New System Launched,1,CLOSED,0
71,12,3,100,20,118.72,128.35,14-06-24,New System Launched,1,CLOSED,0
72,12,4,100,20,122.66,132.6,14-06-24,New System Launched,1,CLOSED,0
73,12,5,100,0,151.36,163.63,14-06-24,New System Launched,1,CLOSED,0
74,12,6,100,20,179.27,193.8,14-06-24,New System Launched,1,CLOSED,0
75,12,7,100,20,198.92,215.05,14-06-24,Price Or Bonus Changed,1,CLOSED,0
76,13,1,100,60,94.35,102,14-06-24,New System Launched,1,CLOSED,0
77,13,2,100,90,94.35,102,14-06-24,New System Launched,1,CLOSED,0
78,13,3,100,110,94.35,102,14-06-24,New System Launched,1,CLOSED,0
79,13,4,100,130,94.35,102,14-06-24,New System Launched,1,CLOSED,0
80,13,5,100,10,136.81,147.9,14-06-24,New System Launched,1,CLOSED,0
81,13,6,100,20,136.81,147.9,14-06-24,New System Launched,1,CLOSED,0
82,13,7,100,45,136.81,147.9,14-06-24,New System Launched,1,CLOSED,0
83,13,8,100,70,136.81,147.9,14-06-24,New System Launched,1,CLOSED,0
84,13,9,100,10,157.25,170,14-06-24,New System Launched,1,CLOSED,0
