id,name,status,area_id,date
1,ABBAS PUR,1,7,17-04-24
2,ABBOTABAD,1,53,17-04-24
3,AHMEDPUR EAST,1,79,17-04-24
4,AHMEDPUR SIAL,1,150,17-04-24
5,ALI PUR,1,99,17-04-24
6,ALLAI,1,55,17-04-24
7,ALPURI,1,72,17-04-24
8,ARIF WALA,1,103,17-04-24
9,AROOP TOWN,1,85,17-04-24
10,ASTORE,1,47,17-04-24
11,ATH MUQAM,1,6,17-04-24
12,ATTOCK,1,77,17-04-24
13,AWARAN,1,9,17-04-24
14,BADIN,1,113,17-04-24
15,BAGH,1,1,17-04-24
16,BAHAWALNAGAR,1,78,17-04-24
17,BAHAWALPUR CITY,1,79,17-04-24
18,BAHAWALPUR SADAR,1,79,17-04-24
19,BAIZI,1,42,17-04-24
20,BAKARAIN,1,122,17-04-24
21,BALAKOT,1,68,17-04-24
22,BALOUCH,1,8,17-04-24
23,BANDA DAUD SHAH,1,62,17-04-24
24,BANNU,1,54,17-04-24
25,BANNU-II,1,54,17-04-24
26,BARA,1,40,17-04-24
27,BARANG,1,39,17-04-24
28,BARKHAN,1,10,17-04-24
29,BARNALA,1,2,17-04-24
30,BARSHORE,1,29,17-04-24
31,BATGRAM,1,55,17-04-24
32,BATKHELA,1,151,17-04-24
33,BELA,1,22,17-04-24
34,BESHAM,1,137,17-04-24
35,BESIMA,1,35,17-04-24
36,BHAG,1,11,17-04-24
37,BHAKKAR,1,80,17-04-24
38,BHALWAL,1,108,17-04-24
39,BHIMBER,1,2,17-04-24
40,BHIRIA,1,125,17-04-24
41,BIRMAL,1,46,17-04-24
42,BULEDA,1,18,17-04-24
43,BULRI SHAH KAREEM,1,132,17-04-24
44,BUREWALA,1,136,17-04-24
45,CENTRAL ORAKZAI,1,43,17-04-24
46,CHACHRO,1,133,17-04-24
47,CHAGARZI,1,56,17-04-24
48,CHAKWAL,1,81,17-04-24
49,CHAMAN,1,30,17-04-24
50,CHAMBAR,1,131,17-04-24
51,CHARMANG,1,39,17-04-24
52,CHARSADDA,1,57,17-04-24
53,CHATTAR,1,26,17-04-24
54,CHAUBARA,1,94,17-04-24
55,CHICHA WATNI,1,107,17-04-24
56,CHILAS,1,48,17-04-24
57,CHILTON TOWN,1,32,17-04-24
58,CHIMLA,1,56,17-04-24
59,CHINIOT,1,82,17-04-24
60,CHISHTIAN,1,78,17-04-24
61,CHITRAL,1,58,17-04-24
62,CHOA SAIDAN SHAH,1,81,17-04-24
63,CHONIAN,1,90,17-04-24
64,D.I. KHAN,1,59,17-04-24
65,D.M. JAMALI,1,26,17-04-24
66,DADU,1,114,17-04-24
67,DAGGAR,1,56,17-04-24
68,DAGHONI,1,49,17-04-24
69,DAHARKI,1,115,17-04-24
70,DALBANDIN,1,12,17-04-24
71,DARABAN,1,59,17-04-24
72,DAREL,1,48,17-04-24
73,DARGAI,1,157,17-04-24
74,DARYA KHAN,1,80,17-04-24
75,DASHT,1,18,17-04-24
76,DASHT,1,24,17-04-24
77,DASKA,1,110,17-04-24
78,DASSU,1,64,17-04-24
79,DATA KHEL,1,45,17-04-24
80,DAUR,1,126,17-04-24
81,DE-EX AREA,1,83,17-04-24
82,DEPALPUR,1,102,17-04-24
83,DERA BUGTI,1,13,17-04-24
84,DERA GHAZI KHAN,1,83,17-04-24
85,DHADAR,1,11,17-04-24
86,DHADYAL,1,4,17-04-24
87,DHEER KOT,1,1,17-04-24
88,DIGRI,1,124,17-04-24
89,DINA,1,88,17-04-24
90,DIPLO,1,133,17-04-24
91,DIR,1,76,17-04-24
92,DOKRI,1,122,17-04-24
93,DOSSALI,1,45,17-04-24
94,DUBANDI,1,30,17-04-24
95,DUKI,1,23,17-04-24
96,DULATPUR,1,126,17-04-24
97,DUNYA PUR,1,95,17-04-24
98,DUREJI,1,22,17-04-24
99,ESA KHEL,1,97,17-04-24
100,FAIZ GUNJ,1,121,17-04-24
101,FATEH JANG,1,77,17-04-24
102,FATEH PUR,1,3,17-04-24
103,FEROZWALA,1,109,17-04-24
104,FORT ABBAS,1,78,17-04-24
105,FR-1 PESHAWAR,1,44,17-04-24
106,FR-2 KOHAT,1,44,17-04-24
107,FR-3 BANNU,1,44,17-04-24
108,FR-4 LAKKI MARWAT,1,44,17-04-24
109,FR-5 D.I. KHAN,1,44,17-04-24
110,FR-6 TANK,1,44,17-04-24
111,GADANI,1,22,17-04-24
112,GADIZI,1,56,17-04-24
113,GAGRA,1,56,17-04-24
114,GAMBAT,1,121,17-04-24
115,GANDAKA,1,15,17-04-24
116,GANDAWA,1,16,17-04-24
117,GARHI KAHIRU,1,117,17-04-24
118,GARHI YASIN,1,129,17-04-24
119,GARYAM,1,45,17-04-24
120,GHAZI,1,61,17-04-24
