bank_id,bank_name,status,branch_code,add_date,bank_abr
1,APNA MICROFINANCE BANK,0,0,2015-01-30,AMB
2,AL BARKA,0,0,2015-01-30,ABB
3,ALLIED BANK LIMITED,1,0,2015-01-30,ABL
4,ASKARI BANK,0,0,2015-01-30,ASKARI
5,BANK AL HABIB LIMITED,1,0,2015-01-30,BAH
6,BANK ALFALAH,1,0,2015-01-30,BAF
7,BANK ISLAMI,1,0,2015-01-30,BI
9,BURJ BANK LIMITED,1,0,2015-01-30,BBL
10,CITI BANK,0,0,2015-01-30,CB
11,DUBAI ISLAMIC BANK,0,0,2015-01-30,DIB
12,FAYSAL BANK,1,0,2015-01-30,FB
13,FIRST WOMEN BANK,0,0,2015-01-30,FWB
14,HABIB BANK LIMITED,1,0,2015-01-30,HBL
15,HABIB METRO BANK,0,0,2015-01-30,HMB
16,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,0,0,2015-01-30,ICBC
17,JS BANK,1,0,2015-01-30,JS B
18,KASB BANK,1,0,2015-01-30,KB
19,MEEZAN BANK LIMITED,1,0,2015-01-30,MBL
20,NIB BANK,1,0,2015-01-30,NIB
21,SAMBA BANK LIMITED,0,0,2015-01-30,SAMBA
22,SILK BANK,0,0,2015-01-30,SILK
23,SINDH BANK,0,0,2015-01-30,SINDH
24,SONERI BANK,0,0,2015-01-30,SONERI
25,STANDARD CHARTERED BANK,0,0,2015-01-30,SCB
26,SUMMIT BANK,1,0,2015-01-30,SUMMIT
27,TAMEER MICROFINANCE BANK,0,0,2015-01-30,TMB
28,U MICROFINANCE BANK LIMITED,0,0,2015-01-30,UMBL
29,UNITED BANK LIMITED,1,0,2015-01-30,UBL
30,THE BANK OF KHYBER,1,0,2015-01-30,BoK
31,HABIB METROPOLITAN BANK,1,0,2015-01-30,HMPB
32,MUSLIM COMMERCIAL BANK,1,0,2015-03-26,MCB
33,THE BANK OF PUNJAB,1,0,2015-03-28,BoP
34,MOBIT ONLINE,1,0,2015-03-30,MOBIT
