OrderId,tblDistId,tblAreaId,instiId,subAreaId,FeedDate,dd_amount,order_value,Period,instructions,ddNumber,orderType,status,forward_date,confirm_date,cancel_date,restore_date,crem,userId,userIp,invoiceNo,invoiceDate,truckNo,siv,dispatch_mode,edit_by,confirm_by,forward_by,edit_status,discount,stockist,perage,disp_date,Return_stock,stock_against_orderNo,purchase_against_type,edit_date,prvs_frwd_date,dd_banks,payment_max_date,AdvTax,ValidatePayment
1,52,39,0,2130,24-06-24,0,499103,202406,OLD ORDER 105565,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,CO,206,1,1,,0,D,0,24-06-24,,,,24-06-24,,,,0,
2,52,39,0,2130,24-06-24,0,249815,202406,OLD ORDER 105636,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,CO,206,206,206,,0,D,0,24-06-24,,,,24-06-24,,,,0,
3,52,39,0,2130,22-06-24,0,6644,202405,old order 105639,,General,6,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,BL,,206,206,,0,D,0,24-06-24,YES,,,,,,,0,
4,92,40,0,2131,22-06-24,0,202067,202406,old order 105547,,General,2,24-06-24,24-06-24,,29-08-24,Sale-period changed from Jun 2024,206,103.249.114.66,,,,NO,BL,205,206,206,9,0,D,0,24-06-24,,,,,,,,0,
5,70,55,0,2146,22-06-24,0,270894,202406,old order 105555,,General,2,24-06-24,24-06-24,,29-08-24,Sale-period changed from May 2024,206,103.249.114.66,,,,NO,BL,205,206,206,9,0,D,0,25-06-24,,,,,,,,0,
6,76,66,0,2156,22-06-24,0,82883,202406,old order 105610,,General,2,24-06-24,24-06-24,,29-08-24,Sale-period changed from May 2024,206,103.249.114.66,,,,NO,BL,205,206,206,9,2,D,0,25-06-24,,,,,,,,0,
7,10,16,0,2107,06-09-24,1412294,1628301,202409,(CREDIT BALANCE),,General,2,06-09-24,06-09-24,22-06-24,10-09-24,Sale-period changed from Aug 2024,807,103.249.114.66,,,,NO,CO,205,807,807,9,0,D,0,18-09-24,YES,,,06-09-24,06-09-24,,,0.1,
8,76,66,0,2156,22-06-24,0,64514,202406,old order 105611,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,BL,,206,206,,2,D,0,25-06-24,,,,,,,,0,
9,76,66,0,2156,22-06-24,0,25126,202406,old order 105612,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,BL,,206,206,,2,D,0,25-06-24,,,,,,,,0,
10,55,41,0,2132,22-06-24,0,301733,202406,pld order 105674,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,BL,,206,206,,0,D,0,25-06-24,,,,,,,,0,
11,40,31,0,2122,29-08-24,28845,29483,202408,OLD#106195 ( CREDIT BALANCE),,General,1,29-08-24,29-08-24,,27-08-24,Low credit balance,876,103.249.114.66,,,,NO,CO,876,876,876,9,2,D,0,,,,,29-08-24,17-08-24,,,0,1
12,47,43,0,2134,22-06-24,0,895867,202406,old order 105546,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,BL,,206,206,,0,D,0,25-06-24,,,,,,,,0,
13,47,43,0,2134,22-06-24,0,20474,202406,old order 105577,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,BL,,206,206,,0,D,0,25-06-24,,,,,,,,0,
14,67,56,0,2147,24-06-24,0,267536,202406,OLD ORDER 105554,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,CO,206,206,206,,0,D,0,25-06-24,,,,24-06-24,,,,0,
15,54,44,0,2135,24-06-24,0,3575784,202406,OLD ORDER 105578,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,CO,206,206,206,,0,D,0,25-06-24,,,,24-06-24,,,,0,
16,71,57,0,2148,24-06-24,0,502503,202406,OLD ORDER 105538,,General,2,24-06-24,24-06-24,,,,206,103.249.114.66,,,,NO,CO,206,206,206,,0,D,0,25-06-24,,,,24-06-24,,,,0,
